 
  EnergyXF(  1s(m=  0))=  -12.4951489387        12.5048517276       -25.0000006663 Int_Ort=         1.00000
    Energy(L= 24,ML= 1)=   -3.1198449632         3.1189720052        -6.2388169683 Int_Ort= 0.9999482839271
    Energy(L= 25,ML= 1)=   -3.1206938557         3.1199885427        -6.2406823984 Int_Ort= 0.9999603294941
    Energy(L= 26,ML= 1)=   -3.1213817468         3.1208079149        -6.2421896618 Int_Ort= 0.9999692757143
    Energy(L= 27,ML= 1)=   -3.1219428680         3.1214729252        -6.2434157932 Int_Ort= 0.9999759884553
    Energy(L= 28,ML= 1)=   -3.1224034508         3.1220161799        -6.2444196306 Int_Ort= 0.9999810739091
    Energy(L= 29,ML= 1)=   -3.1227837509         3.1224627152        -6.2452464661 Int_Ort= 0.9999849614463
    Energy(L= 30,ML= 1)=   -3.1230995252         3.1228318997        -6.2459314249 Int_Ort= 0.9999879585416
    Energy(L= 31,ML= 1)=   -3.1233631167         3.1231388244        -6.2465019411 Int_Ort= 0.9999902876573
    Energy(L= 32,ML= 1)=   -3.1235842587         3.1233953287        -6.2469795874 Int_Ort= 0.9999921113263
    Energy(L= 33,ML= 1)=   -3.1237706759         3.1236107628        -6.2473814387 Int_Ort= 0.9999935494022
    Energy(L= 34,ML= 1)=   -3.1239285355         3.1237925585        -6.2477210940 Int_Ort= 0.9999946910454
