        Distance           1s              1s              2p              2p              2p              2p
      0.573651E-02    0.124645E+00    0.124645E+00    0.370157E-03    0.370158E-03    0.370157E-03    0.370158E-03
      0.597040E-02    0.129576E+00    0.129576E+00    0.400722E-03    0.400723E-03    0.400722E-03    0.400723E-03
      0.621381E-02    0.134695E+00    0.134695E+00    0.433800E-03    0.433801E-03    0.433800E-03    0.433801E-03
      0.646715E-02    0.140009E+00    0.140008E+00    0.469595E-03    0.469596E-03    0.469595E-03    0.469596E-03
      0.673080E-02    0.145524E+00    0.145524E+00    0.508328E-03    0.508330E-03    0.508328E-03    0.508330E-03
      0.700518E-02    0.151249E+00    0.151249E+00    0.550240E-03    0.550242E-03    0.550240E-03    0.550242E-03
      0.729074E-02    0.157190E+00    0.157190E+00    0.595589E-03    0.595590E-03    0.595589E-03    0.595590E-03
      0.758792E-02    0.163354E+00    0.163354E+00    0.644654E-03    0.644656E-03    0.644654E-03    0.644656E-03
      0.789721E-02    0.169750E+00    0.169750E+00    0.697738E-03    0.697739E-03    0.697738E-03    0.697739E-03
      0.821908E-02    0.176385E+00    0.176385E+00    0.755166E-03    0.755167E-03    0.755166E-03    0.755167E-03
      0.855406E-02    0.183266E+00    0.183266E+00    0.817290E-03    0.817292E-03    0.817290E-03    0.817292E-03
      0.890266E-02    0.190403E+00    0.190403E+00    0.884491E-03    0.884493E-03    0.884491E-03    0.884493E-03
      0.926546E-02    0.197803E+00    0.197803E+00    0.957180E-03    0.957181E-03    0.957180E-03    0.957181E-03
      0.964302E-02    0.205475E+00    0.205475E+00    0.103580E-02    0.103580E-02    0.103580E-02    0.103580E-02
      0.100359E-01    0.213427E+00    0.213427E+00    0.112083E-02    0.112083E-02    0.112083E-02    0.112083E-02
      0.104448E-01    0.221669E+00    0.221669E+00    0.121278E-02    0.121278E-02    0.121278E-02    0.121278E-02
      0.108704E-01    0.230210E+00    0.230210E+00    0.131222E-02    0.131222E-02    0.131222E-02    0.131222E-02
      0.113132E-01    0.239059E+00    0.239059E+00    0.141973E-02    0.141974E-02    0.141973E-02    0.141974E-02
      0.117740E-01    0.248224E+00    0.248224E+00    0.153599E-02    0.153599E-02    0.153599E-02    0.153599E-02
      0.122536E-01    0.257716E+00    0.257716E+00    0.166167E-02    0.166167E-02    0.166167E-02    0.166167E-02
      0.127527E-01    0.267544E+00    0.267544E+00    0.179754E-02    0.179754E-02    0.179754E-02    0.179754E-02
      0.132721E-01    0.277718E+00    0.277718E+00    0.194440E-02    0.194440E-02    0.194440E-02    0.194440E-02
      0.138125E-01    0.288247E+00    0.288247E+00    0.210314E-02    0.210315E-02    0.210314E-02    0.210315E-02
